Date,Open,Close
,^GSPC,^GSPC
2024-07-05,5537.91015625,5567.18994140625
2024-07-08,5572.75,5572.85009765625
2024-07-09,5584.240234375,5576.97998046875
2024-07-10,5591.259765625,5633.91015625
2024-07-11,5635.2099609375,5584.5400390625
2024-07-12,5590.759765625,5615.35009765625
2024-07-15,5638.16015625,5631.22021484375
2024-07-16,5644.08984375,5667.2001953125
2024-07-17,5610.06982421875,5588.27001953125
2024-07-18,5608.56005859375,5544.58984375
2024-07-19,5543.3701171875,5505.0
2024-07-22,5544.5400390625,5564.41015625
2024-07-23,5565.2998046875,5555.740234375
2024-07-24,5505.83984375,5427.1298828125
2024-07-25,5428.7001953125,5399.22021484375
2024-07-26,5433.669921875,5459.10009765625
2024-07-29,5476.5498046875,5463.5400390625
2024-07-30,5478.72998046875,5436.43994140625
2024-07-31,5505.58984375,5522.2998046875
2024-08-01,5537.83984375,5446.68017578125
2024-08-02,5376.6298828125,5346.56005859375
2024-08-05,5151.14013671875,5186.330078125
2024-08-06,5206.419921875,5240.02978515625
2024-08-07,5293.1298828125,5199.5
2024-08-08,5252.56982421875,5319.31005859375
2024-08-09,5314.66015625,5344.16015625
2024-08-12,5351.8798828125,5344.39013671875
2024-08-13,5376.97998046875,5434.43017578125
2024-08-14,5442.35986328125,5455.2099609375
2024-08-15,5501.1298828125,5543.22021484375
2024-08-16,5530.5,5554.25
2024-08-19,5557.22998046875,5608.25
2024-08-20,5602.8798828125,5597.1201171875
2024-08-21,5603.08984375,5620.85009765625
2024-08-22,5637.77001953125,5570.64013671875
2024-08-23,5602.490234375,5634.60986328125
2024-08-26,5639.66015625,5616.83984375
2024-08-27,5602.89013671875,5625.7998046875
2024-08-28,5624.509765625,5592.18017578125
2024-08-29,5607.2998046875,5591.9599609375
2024-08-30,5612.740234375,5648.39990234375
2024-09-03,5623.89013671875,5528.93017578125
2024-09-04,5506.68017578125,5520.06982421875
2024-09-05,5520.080078125,5503.41015625
2024-09-06,5507.330078125,5408.419921875
2024-09-09,5442.06982421875,5471.0498046875
2024-09-10,5490.509765625,5495.52001953125
2024-09-11,5496.419921875,5554.1298828125
2024-09-12,5557.47998046875,5595.759765625
2024-09-13,5603.33984375,5626.02001953125
2024-09-16,5615.2099609375,5633.08984375
2024-09-17,5655.509765625,5634.580078125
2024-09-18,5641.68017578125,5618.259765625
2024-09-19,5702.6298828125,5713.64013671875
2024-09-20,5709.64013671875,5702.5498046875
2024-09-23,5711.89990234375,5718.56982421875
2024-09-24,5727.66015625,5732.93017578125
2024-09-25,5733.64990234375,5722.259765625
2024-09-26,5762.22021484375,5745.3701171875
2024-09-27,5755.35986328125,5738.169921875
2024-09-30,5726.52001953125,5762.47998046875
2024-10-01,5757.72998046875,5708.75
2024-10-02,5698.14013671875,5709.5400390625
2024-10-03,5698.18994140625,5699.93994140625
2024-10-04,5737.47998046875,5751.06982421875
2024-10-07,5737.7998046875,5695.93994140625
2024-10-08,5719.14013671875,5751.1298828125
2024-10-09,5751.7998046875,5792.0400390625
2024-10-10,5778.35986328125,5780.0498046875
2024-10-11,5775.08984375,5815.02978515625
2024-10-14,5829.81005859375,5859.85009765625
2024-10-15,5866.740234375,5815.259765625
2024-10-16,5816.580078125,5842.47021484375
2024-10-17,5875.6201171875,5841.47021484375
2024-10-18,5859.43017578125,5864.669921875
2024-10-21,5857.81982421875,5853.97998046875
2024-10-22,5832.7001953125,5851.2001953125
2024-10-23,5834.5,5797.419921875
2024-10-24,5817.7998046875,5809.85986328125
2024-10-25,5826.75,5808.1201171875
2024-10-28,5833.93017578125,5823.52001953125
2024-10-29,5819.68017578125,5832.919921875
2024-10-30,5832.64990234375,5813.669921875
2024-10-31,5775.33984375,5705.4501953125
2024-11-01,5723.22021484375,5728.7998046875
2024-11-04,5725.14990234375,5712.68994140625
2024-11-05,5722.43017578125,5782.759765625
2024-11-06,5864.89013671875,5929.0400390625
2024-11-07,5947.2099609375,5973.10009765625
2024-11-08,5976.759765625,5995.5400390625
2024-11-11,6008.85986328125,6001.35009765625
2024-11-12,6003.60009765625,5983.990234375
2024-11-13,5985.75,5985.3798828125
2024-11-14,5989.68017578125,5949.169921875
2024-11-15,5912.7900390625,5870.6201171875
2024-11-18,5874.169921875,5893.6201171875
2024-11-19,5870.0498046875,5916.97998046875
2024-11-20,5914.33984375,5917.10986328125
